X,Y,OBJECTID,TREEID,STATUS,HEIGHT,SPREAD,DIAMETER,NOTES,SCIENTIFIC,COMMON,STATE_ID,SITE_ADDRESS,Date_Height,Date_Spread,CIRCUMF,Date_Circumference,YEAR_Designated,DATE_DESIG,Ownership,LAT,LON,Delist_Date,Delist_Ordinance,Delist_Reason,Neighborhood,Vol_Inspection,Native,Site_Notes,Ordinance,County_Rec
-122.686631710906468,45.514298702336333,1,0,Merit,0,0,0, ,Ulmus americana,American elm,1S1E04AD  6000,CORNER SW 11TH & SW MARKET ST,,,0,,0,,Right Of Way,45.51429304,-122.68661749,,,,,,,,,
-122.692578444001327,45.524859348073846,2,0,Merit,0,0,0, ,Ulmus americana,American elm,1N1E33CA  14400,239 NW 20TH AVE,,,0,,0,,Right Of Way,45.52485369,-122.69256422,,,,,,,,,
-122.631539158323875,45.466978390738809,3,0,Merit,0,0,0, ,Ulmus americana,American elm,1S1E24CA  7400,7921 SE 31ST AVE,,,0,,0,, ,45.46697273,-122.63152495,,,,,,,,,
-122.693772801782274,45.45578388594879,4,0,Removed,0,0,0,"Marshall Park, undesignated",Abies amabilis,Pacific silver fir, , ,,,0,,1997,1997-07-30T00:00:00.000Z,Portland Parks & Recreation,45.45577823,-122.69375859,,,,,,,,,
-122.706315541513206,45.50556466397596,5,0,Removed,0,0,0, ,Abies x shastensis,Shasta red fir,1S1E05DD  13300,2707 SW HOMAR AVE,,,0,,1999,1999-10-21T00:00:00.000Z,Right Of Way,45.50555901,-122.70630132,,,,,,,,,
-122.624581063254595,45.48462260739641,6,0,Removed,0,0,0,fell on 12/26/96,Pinus coulteri,Coulter pine,1S1E13AD  12900,5306 SE 37TH AVE,,,0,,1994,1994-03-23T00:00:00.000Z,Private,45.48461694,-122.62456686,,,,,,,,,
-122.626849925591301,45.522369559581961,7,0,Removed,0,0,0,removed because of fungal disease,Quercus palustris,Pin oak,1N1E36DC  3100,3527 SE ANKENY ST,,,0,,1996,1996-10-23T00:00:00.000Z,Private,45.52236389,-122.62683571,,,,,,,,,
-122.684028045565114,45.516734890268545,8,1,Heritage,78,105,47,This tree was planted in front of the home of Martin and Rosetta Burrell in 1870 and is thus known as the 'Burrell Elm'.,Ulmus americana,American elm,1S1E04AA  6200,1111 SW 10th AVE,,,12.17,,1973,1973-01-01T00:00:00.000Z,Private,45.51672923,-122.68401382,,,,,,,,,
-122.682588806139378,45.517172593852578,9,2,Heritage,63,95,54,This tree was planted beside the Sylvester Farrell house in 1880.,Platanus x acerifolia,London planetree,1S1E04AA  2100,NW/C SW PARK & SW MAIN ST,,,14,,1975,1975-01-01T00:00:00.000Z,Right Of Way,45.51716693,-122.68257458,,,,,,,,,
-122.650672939702318,45.534430655425282,10,3,Heritage,72,65,59,"This tree is at the corner of NE 15th Ave and NE Weidler St, in an open patio area. It was planted near the George Nicolai home in the 1890s.",Liriodendron tulipifera,Tulip tree,1N1E26DC  13500,1403 NE WEIDLER ST,,,15.5,,1993,1993-01-11T00:00:00.000Z,"Private, Side Yard, Corner Lot",45.53442499,-122.65065872,,,,,,,,,
-122.631862170940451,45.507395867198099,11,4,Heritage,40,80,57,This tree is known as the Picnic Oak and is on the west side of the lot between SE Lincoln St and SE Grant St.,Quercus garryana,Oregon white oak,1S1E01CD  1600,2137 SE 32nd PL,,,15,,1993,1993-01-11T00:00:00.000Z,"Private, Side Yard",45.5073902,-122.63184796,,,,,,,,,
-122.694609565401436,45.517985969960407,12,5,Heritage,107,55,39,"This tree is located in a built out planter at the intersection and is believed to have been planted sometime in the late 19th century by Henry Miller, one of Portland’s first florists.",Pinus nigra,Austrian pine,1S1E04BA 6800,COR JEFFERSON & SW 20TH,,,10.2,,1993,1993-01-11T00:00:00.000Z,Right Of Way (Trimet),45.51798031,-122.69459534,,,,,,,,,
-122.694786635022041,45.517827619289996,13,6,Heritage,85,79,59,This tree is at the corner of SW Howards Way and SW 20th Ave.,Cedrus libani ssp. libani,Cedar of Lebanon,1S1E04BA9 70000,2024 SW HOWARDS WAY,,,15.4,,1993,1993-01-11T00:00:00.000Z,"Private, Side Yard",45.51782196,-122.69477241,,,,,,,,,
-122.559011083119188,45.538974751786682,14,7,Heritage,84,65,79,This tree is at the end of the street.,Fagus sylvatica,European beech,1N2E28DA  700,10115 NE THOMPSON ST,2016-03-01T00:00:00.000Z,2016-03-01T00:00:00.000Z,20.8,2016-03-01T00:00:00.000Z,1994,1994-01-26T00:00:00.000Z,"Right Of Way, Unimproved",45.53896908,-122.55899688,,,,,,,,,
-122.718187896395378,45.576987454113493,15,8,Heritage,80,104,66,This tree is on the east side of the lot between N Stafford St and N Syracuse St.,Quercus garryana,Oregon white oak,1N1E17BB  100,7168 N OLIN AVE,,2016-03-01T00:00:00.000Z,17.2,2016-03-01T00:00:00.000Z,1994,1994-01-26T00:00:00.000Z,"Right Of Way, Unimproved",45.57698179,-122.71817366,,,,,,,,,
-122.697288452969772,45.513120861279297,16,9,Heritage,100,105,81,"This tree is deep in the front yard, but is still very visible, it was planted in the early 1920s by Dr. A.S. Nichols.",Quercus rubra,Northern red oak,1S1E04BD  12100,1961 SW VISTA AVE,,,21.15,,1994,1994-01-26T00:00:00.000Z,"Private, Front Yard",45.5131152,-122.69727423,,,,,,,,,
